token_address,from_address,to_address,value,transaction_hash,log_index,block_number
0xb8c77482e45f1f44de1745f52c74426c631bdd52,0x6bb2f5fb285617e9a25d277cc8534cab7c60ca80,0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,2.09481E+19,0x1dd794e11387cf2561baa0796045411c44e7e45f87850445c476671fd6b1438d,103,6525301
0xe41d2489571d322189246dafa5ebde1f4699f498,0x082d29f20c6dbbc6f543e6b9f5b6d128c04ad884,0xba826fec90cefdf6706858e5fbafcb27a290fbe0,2.9423E+21,0x819568bdf3d8b5da02084dd983faa84d5eab3fe410bf27c37eacf012f62f703d,21,6525302
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1c7abf4fe3891f01048dc3a6cce2fa272aafb8c0,0x01bae1e87db376a000d0f2d86008c7bb24cabc43,1.97533E+18,0x88f3c3e54a9aaa49d501ef15cba42a3951f5a7e7504fc9fe623513ce7ff67f3a,33,6525302
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6924a03bb710eaf199ab6ac9f2bb148215ae9b5d,0x1c7abf4fe3891f01048dc3a6cce2fa272aafb8c0,2E+18,0x88f3c3e54a9aaa49d501ef15cba42a3951f5a7e7504fc9fe623513ce7ff67f3a,40,6525302
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x78903c52de3923d203881f1b766160cba5a37f59,0x938e0b832c3c5c42d2f7f49f4640b8fb38a82847,199000000,0x710afaae574dfa09abd5a07f16c34356b6afb75d13fa7fdfb5b05e77f616d862,4,6525303
0xb8c77482e45f1f44de1745f52c74426c631bdd52,0x7262532ccfff292086a2cfa266d7dfbd0d807f98,0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,8.024E+20,0xda4f0f29637dfa0468479055b9ba53e02b9fc35ea2316b3e86b199acc72c194f,136,6525303
0xb8c77482e45f1f44de1745f52c74426c631bdd52,0x6b7995c5479e4cda7e6fa251a094bd7b7a0a1c1c,0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,1.16204E+19,0xaade84f19e6efabb997e307049e56899549be74ae84fbb458b9a6b68a807cecc,137,6525303
0xb8c77482e45f1f44de1745f52c74426c631bdd52,0x6ae830a19e69afaf091afe91e2cff06d43c54ed5,0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,6.69039E+19,0x18311370a14051c211f73bdacc8246a18cd9d1b4bcac2171b29542b56003db55,138,6525303
0xb8c77482e45f1f44de1745f52c74426c631bdd52,0x665d89d9f7116504be4885250ec82531f3575003,0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,2.317E+20,0x93e3d4eb139fc83994691b840b09654f2acb0a0d4ae61465c89603d7b96a7d50,140,6525303
0xb8c77482e45f1f44de1745f52c74426c631bdd52,0x60ceb6191c49634d1d62dbea64652b66550f3bba,0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,8.55658E+20,0x9b536a22648f8656df82c91f66100f14ec1dc1026fc3ad07ad8fb0f9a873d90b,141,6525303
0xb8c77482e45f1f44de1745f52c74426c631bdd52,0x5fbfd7b42c24d8e0b271af47b8ce0ecf0958295f,0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,3E+20,0x52645d30dc6c16e301cb91d101e5ac52fb5c823c302c1036a4bbe1e0e9c059fe,142,6525303
